,log_score_0,distance_0,comp_0,log_score_1,distance_1,comp_1,log_score_2,distance_2,comp_2,log_score_3,distance_3,comp_3,log_score_4,distance_4,comp_4
99,-0.21789511564401245,5.79,1.0,-1.173353246789068,7.13,3.0,0.15687608488311167,7.05,3.0,-6.130890660353788,4.35,1.0,-1.1663229102129433,7.46,2
100,-0.22355976669232971,3.69,3.0,0.12654637093130106,7.05,3.0,-1.1878037414291953,4.47,0.0,-1.9583073129754778,0.74,4.0,-1.1663921319782276,7.13,3
101,-0.2178951323729294,7.57,1.0,-1.1727445333771287,4.47,0.0,-1.3154643774597765,4.74,3.0,1.7142194971991347,0.93,0.0,-0.03294134799110271,7.05,3
102,0.5631416532383051,0.75,1.0,-1.296252558283333,4.74,3.0,-1.1881621797090371,5.47,0.0,-1.1262872139898858,7.13,1.0,-1.1663336919808953,4.47,0
103,-2.4465870008422987,1.03,3.0,-1.1727862641140985,5.47,0.0,-1.2103814653294964,6.24,2.0,-4.8957147519801785,1.24,0.0,-1.29329876587002,4.74,3
104,-0.217882096344594,1.39,2.0,-1.1759839130211966,6.24,2.0,-1.3578342928664193,2.57,3.0,-5.043723086154282,0.72,1.0,-1.1665752068681088,5.47,0
105,-3.6988519663948747,1.93,0.0,-1.317285388418395,2.57,3.0,-1.8644971520098435,5.81,3.0,-4.895712178865542,0.42,2.0,-1.1822086018753795,6.24,2
106,-0.21787640728388816,1.34,0.0,-2.053671716495016,5.81,3.0,-1.1878237591935703,5.79,1.0,1.542258474427829,0.91,4.0,-1.3274810573754816,2.57,3
107,-0.21892144710602207,5.49,3.0,-1.1727569516459644,5.79,1.0,-2.35695476237918,3.69,3.0,-4.754697844021321,0.95,0.0,-1.8693900543718083,5.81,3
108,-5.6928574699598675,4.35,1.0,-2.7385443167919776,3.69,3.0,-1.1877890585860507,7.57,1.0,-1.126669451796975,7.19,3.0,-1.1663573733149952,5.79,1
109,-0.2316336486707785,0.74,4.0,-1.1727385701841795,7.57,1.0,0.01922800381988754,0.75,1.0,-1.134296013112086,3.86,1.0,-2.3901079316365266,3.69,3
110,1.8564968946847529,0.93,0.0,0.8124354121336399,0.75,1.0,-5.066994010303017,1.03,3.0,-1.8826148415981967,4.5,3.0,-1.1663229201386107,7.57,1
111,-0.21789511564459602,7.13,1.0,-4.703586675753294,1.03,3.0,-1.1892273460775644,1.39,2.0,-4.895713244162031,0.8,0.0,-5.0670474319064285,0.75,1
112,-2.6726836042857487,1.24,0.0,-1.1729246417195678,1.39,2.0,-5.884720636115788,1.93,0.0,-1.126287213988706,2.09,3.0,-4.956134283630529,1.03,3
113,-2.4188338503644693,0.72,1.0,-6.180553348595334,1.93,0.0,-1.1878931471393144,1.34,0.0,-1.1262872139887987,7.08,1.0,-1.1672960858643144,1.39,2
114,-2.6726783826945777,0.42,2.0,-1.1727884987467347,1.34,0.0,-1.1891592058216753,5.49,3.0,-1.1262872140484603,7.42,1.0,-5.834100173830629,1.93,0
115,1.7098324858080645,0.91,4.0,-1.1736103126996336,5.49,3.0,-5.941896777348853,4.35,1.0,-2.54513853472382,1.24,2.0,-1.166426371579411,1.34,0
116,-2.5029553642559077,0.95,0.0,-10.594262048494752,4.35,1.0,-1.6996106274668443,0.74,4.0,-1.1263456987796356,5.24,2.0,-1.1674765982569697,5.49,3
117,-0.21798921843417246,7.19,3.0,-2.0722540388288855,0.74,4.0,1.062000550311454,0.93,0.0,-4.753160315060757,1.36,1.0,-6.448257192048669,4.35,1
118,-0.2198635881380028,3.86,1.0,2.0196713481278863,0.93,0.0,-1.1877890141532557,7.13,1.0,-1.1268675855525558,1.88,1.0,-1.8100600901164545,0.74,4
119,-0.22214604203284402,4.5,3.0,-1.1727385441135307,7.13,1.0,-5.183874846685512,1.24,0.0,-4.890877141029576,0.6,1.0,1.8788424395307468,0.93,0
120,-2.6726810810676698,0.8,0.0,-4.812488363517244,1.24,0.0,-5.106566388492688,0.72,1.0,-1.1262872139887987,7.26,1.0,-1.166322910214334,7.13,1
121,-0.21789511564398859,2.09,3.0,-5.4919735815162785,0.72,1.0,-5.183871639384022,0.42,2.0,-1.1343509623858954,0.95,1.0,-5.067047916884357,1.24,0
122,-0.21789511564401245,7.08,1.0,-4.812488156948809,0.42,2.0,-3.35942582413653,0.91,4.0,-4.893055908681873,1.1,1.0,-5.057586375338426,0.72,1
123,-0.21789511565254488,7.42,1.0,1.827325443033222,0.91,4.0,-5.048413467495392,0.95,0.0,-1.126287213988804,7.03,0.0,-5.0670464733012555,0.42,2
124,-2.4362390566285956,1.24,2.0,-4.70173140260739,0.95,0.0,-1.1880085372644171,7.19,3.0,-1.2428206639528305,5.13,1.0,-2.2009722198866957,0.91,4
125,-0.21789450095372098,5.24,2.0,-1.1728366351613229,7.19,3.0,-1.1920698958376625,3.86,1.0,-4.416821709517102,2.11,1.0,-4.954309191882341,0.95,0
126,-2.4406777058148643,1.36,1.0,-1.1744350871859643,3.86,1.0,-1.8611101465372502,4.5,3.0,-4.7401124890048685,1.36,0.0,-1.166329656704773,7.19,3
