"X_ScoreRateH";"X_ScoreRateA";"X_ConcedeRateH";"X_ConcedeRateA";"X_CornerRatioH";"X_CornerRatioA";"X_FoulRatioH";"X_FoulRatioA";"GoalsScored"
2.966666667;0.933333333;0.9;1.333333333;0.590909091;0.385350318;0.41796875;0.556650246;3
0.866666667;1;1.4;1.333333333;0.410958904;0.518292683;0.517819706;0.498800959;3
1.565217391;1.260869565;0.913043478;2;0.487719298;0.511627907;0.472644377;0.469936709;1
1.916666667;1;1;1.75;0.683168317;0.372881356;0.46978022;0.505813953;2
1.896551724;1.172413793;0.793103448;1.310344828;0.586206897;0.476470588;0.479908152;0.466666667;2
1.1875;1.3125;2;1.3125;0.567251462;0.351515152;0.522821577;0.579064588;3
1.380952381;0.857142857;1.619047619;1.428571429;0.570247934;0.377358491;0.484087102;0.502664298;5
0.702702703;1.081081081;1.594594595;1.594594595;0.418719212;0.41809291;0.509401709;0.535580524;6
2.105263158;1.263157895;0.947368421;1.421052632;0.657142857;0.387755102;0.492857143;0.565934066;2
0.833333333;1.166666667;1.75;2;0.407894737;0.390243902;0.552287582;0.531506849;1
1.25;0.833333333;1.5;1.125;0.38372093;0.5;0.558823529;0.535384615;2
0.888888889;1.333333333;1.666666667;2.111111111;0.494623656;0.537815126;0.504166667;0.491304348;3
2.333333333;1;0.777777778;1.333333333;0.786516854;0.504;0.494545455;0.551020408;5
0.666666667;1.666666667;1.333333333;0.666666667;0.266666667;0.620689655;0.550561798;0.518181818;4
1.636363636;0.772727273;1.181818182;1.5;0.566820276;0.357142857;0.547584187;0.481178396;3
0.25;3.25;1.25;0.5;0.431818182;0.746835443;0.471962617;0.419191919;1
1;1.666666667;1;1;0.432432432;0.46875;0.521126761;0.494845361;1
0.833333333;1;1.555555556;1.666666667;0.451807229;0.458333333;0.442965779;0.509259259;3
0.461538462;0.846153846;0.923076923;1.384615385;0.41958042;0.416107383;0.480825959;0.6125;4
1;1.076923077;0.769230769;1.461538462;0.44;0.330578512;0.466480447;0.525252525;3
2;1;1;1.5;0.471698113;0.413043478;0.445454545;0.4;5
1.071428571;2.714285714;1.285714286;0.642857143;0.510067114;0.715384615;0.497435897;0.505938242;2
1.833333333;2.833333333;1.133333333;0.566666667;0.537459283;0.64604811;0.542035398;0.389920424;4
1.714285714;0.714285714;1;0.714285714;0.62195122;0.471428571;0.437209302;0.534391534;3
0.5;0.75;2.25;1.5;0.518518519;0.638888889;0.5234375;0.504504505;3
1.428571429;3.428571429;1;0.857142857;0.646153846;0.565789474;0.38647343;0.406542056;4
0.861111111;0.944444444;1.611111111;1.805555556;0.466076696;0.473829201;0.508458647;0.522167488;2
0.928571429;1.071428571;1.25;1.678571429;0.528089888;0.418803419;0.536214953;0.504103165;1
1.428571429;0.857142857;1.571428571;1.571428571;0.434782609;0.5;0.512562814;0.545454545;2
1.703703704;0.925925926;1.074074074;1.259259259;0.49137931;0.53256705;0.426488457;0.536791315;2
1.52173913;1.043478261;1.652173913;1.608695652;0.524193548;0.5;0.47107438;0.467455621;1
0.772727273;1.5;1.409090909;1.590909091;0.435344828;0.5125;0.533834586;0.476327116;5
1.625;2.4375;1.375;0.75;0.554973822;0.604938272;0.488272921;0.5;5
0.8;0.666666667;1.666666667;1.766666667;0.412398922;0.501672241;0.512;0.522093023;3
1;1.333333333;0.333333333;1.666666667;0.6;0.4;0.384615385;0.61;4
1.291666667;1.541666667;1.458333333;0.875;0.419117647;0.483221477;0.496453901;0.473227207;3
1.5;0.954545455;1.681818182;1.318181818;0.416342412;0.4921875;0.472834068;0.558073654;1
1.189189189;1.216216216;1.135135135;1.297297297;0.638069705;0.486111111;0.531914894;0.517241379;5
1.526315789;1.157894737;1.631578947;1.473684211;0.509345794;0.547486034;0.550675676;0.468694097;3
0.5;1.25;1.25;1.75;0.375;0.545454545;0.382113821;0.404761905;2
1.875;1.5;1;0.875;0.583333333;0.5;0.560311284;0.524886878;3
0.84;2.92;1.4;0.76;0.4375;0.741803279;0.503816794;0.392909897;2
0.666666667;0.333333333;1.666666667;2.333333333;0.342857143;0.558139535;0.371794872;0.520833333;3
0.857142857;1.19047619;2.238095238;1.285714286;0.516806723;0.493273543;0.530821918;0.55799373;2
1;1;2.333333333;1;0.692307692;0.515151515;0.547368421;0.486111111;0
1.571428571;0.857142857;1.357142857;1.142857143;0.530612245;0.408450704;0.472103004;0.520107239;2
2.833333333;0.916666667;1;1.416666667;0.577689243;0.537848606;0.4640625;0.491499227;3
0.96;0.96;1.24;1.48;0.384;0.384879725;0.531994981;0.520061728;2
1.5;1.333333333;1.366666667;1.7;0.592592593;0.457725948;0.483940043;0.475929978;3
2.36;2.84;0.76;0.96;0.65037594;0.590038314;0.486187845;0.462109955;4
1.555555556;1.111111111;2.222222222;1.555555556;0.490566038;0.336065574;0.443514644;0.558558559;1
1.75;1;1.25;0.5;0.52173913;0.425;0.438095238;0.488721805;2
1.291666667;1;2.083333333;1.666666667;0.432653061;0.397350993;0.479305741;0.491180461;4
1;1.125;1.25;1.375;0.425;0.527027027;0.509049774;0.45661157;3
1.117647059;0.941176471;1.411764706;1.647058824;0.474860335;0.52;0.516245487;0.520072993;4
0.928571429;2.5;1.714285714;0.785714286;0.547445255;0.602836879;0.516339869;0.493638677;4
1.076923077;2.846153846;1.692307692;0.807692308;0.491166078;0.621993127;0.537091988;0.413986014;1
1.192307692;1.461538462;1.923076923;1.5;0.51183432;0.50625;0.474114441;0.530799476;1
1.041666667;1.75;2.416666667;1.708333333;0.487719298;0.565055762;0.497913769;0.540540541;1
1.5;0.777777778;1.666666667;1.333333333;0.512437811;0.442708333;0.552028219;0.533820841;3
1.482758621;0.965517241;1.482758621;1.379310345;0.490506329;0.507575758;0.479603087;0.533057851;4
0.971428571;0.857142857;1.085714286;1.628571429;0.536111111;0.465465465;0.491474423;0.510576923;2
2.071428571;1.5;0.928571429;2.214285714;0.68707483;0.5;0.497663551;0.421917808;6
0.851851852;1.777777778;1.777777778;0.814814815;0.423357664;0.422641509;0.535211268;0.478211009;4
1.133333333;2.933333333;1.166666667;0.833333333;0.492307692;0.611801242;0.53968254;0.41809291;1
1;1;3;1;0.5;0.611111111;0.441176471;0.470588235;1
1.2;1.35;2.1;1.6;0.52016129;0.510204082;0.465517241;0.542955326;5
1.034482759;1.517241379;1.655172414;1.413793103;0.423728814;0.534534535;0.50726257;0.548954895;4
2.971428571;1.457142857;0.742857143;1.342857143;0.705555556;0.641242938;0.387301587;0.394366197;5
1.4;1.5;1.1;1.6;0.547008547;0.581818182;0.498327759;0.494845361;2
0.925925926;1.185185185;1.407407407;1.481481481;0.501779359;0.405594406;0.53271028;0.550387597;2
1.375;1.5;1.291666667;1.583333333;0.561752988;0.519083969;0.480263158;0.470899471;4
1;2;1;0;0.294117647;0.416666667;0.615384615;0.518518519;6
1.205882353;0.705882353;1.470588235;1.558823529;0.449035813;0.42513369;0.447339848;0.510377358;3
1.4;1.466666667;2.466666667;1.2;0.505319149;0.379084967;0.4296875;0.512880562;0
1.095238095;1.571428571;1.428571429;1.333333333;0.51171875;0.600823045;0.494880546;0.478129713;3
1;0;0.5;2.5;0.5;0.36;0.488188976;0.538461538;1
1.75;1.75;0.75;1.375;0.64;0.5;0.421568627;0.457831325;5
0.878787879;1.424242424;1.545454545;1.151515152;0.538461538;0.47382199;0.535560345;0.464025026;1
1;1.458333333;1.583333333;1.583333333;0.504464286;0.553956835;0.470254958;0.491044776;0
0.5;1;1.5;2;0.235294118;0.473684211;0.632653061;0.461538462;5
2.666666667;2;1;0.666666667;0.619047619;0.55;0.40625;0.43373494;4
1.133333333;1.533333333;1.6;1.733333333;0.496855346;0.524691358;0.494600432;0.555075594;3
0.88;0.88;1.8;1.56;0.40562249;0.414473684;0.540466392;0.499316005;1
1.785714286;1.357142857;1.214285714;1.5;0.564285714;0.347826087;0.545657016;0.543814433;0
0.90625;2.1875;1.53125;0.6875;0.437799043;0.660660661;0.511603376;0.483170467;2
0.739130435;0.608695652;1.869565217;1.52173913;0.440366972;0.519650655;0.526153846;0.537091988;3
